"Restaurant_Id","Restaurant_Name","Cusines","Rating","Price_for_One","Location","Delivery_review_number","Delivery Time","Link"
"78","Lucknow Express","North Indian","3.8","50","Indiranagar","15000","33","https://www.swiggy.com/restaurants/lucknow-express-hal-2nd-stage-Indiranagar-bangalore-574255"
"79","Le Arabia Restaurant","Arabian","3.8","200","Koramangala","5000","30","https://www.swiggy.com/restaurants/le-arabia-restaurant-Koramangala-bangalore-429712"
"80","METRO FOOD","North Indian","2.4","322","Jp Nagar","1000","32","https://www.swiggy.com/restaurants/metro-food-1st-phase-j-p-nagar-bangalore-613284"
"81","BURGER ZONE","North Indian","4.0","75","M.S.R Nagar","10000","32","https://www.swiggy.com/restaurants/burger-zone-msr-collage-road-mathikere-bangalore-320710"
"82","Ember &amp; Frost","North Indian","3.8","175","Koramangala","500","33","https://www.swiggy.com/restaurants/ember-and-frost-jyoti-nivas-college-rd-Koramangala-bangalore-678320"
"83","Daily Chinese","North Indian","2.8","100","Btm Layout","15000","40","https://www.swiggy.com/restaurants/daily-chinese-1st-stage-btm-layout-bangalore-124023"
"84","LICIOUS PIZZA","Continental","4.0","150","Jp Nagar","1000","32","https://www.swiggy.com/restaurants/licious-pizza-9th-phase-jp-nagar-bangalore-503320"
"85","The Punjabi kitchen","North Indian","3.9","250","Indiranagar","5000","32","https://www.swiggy.com/restaurants/the-punjabi-kitchen-hal-2nd-stage-Indiranagar-bangalore-571338"
"86","Meat and Eat","North Indian","4.0","150","Indiranagar","10000","39","https://www.swiggy.com/restaurants/meat-and-eat-2nd-stage-Indiranagar-bangalore-5312"
"87","Malabar Cafe","Italian","3.6","174","Koramangala","500","38","https://www.swiggy.com/restaurants/malabar-cafe-7th-block-Koramangala-bangalore-303270"
"88","Foodism.in","North Indian","3.5","125","Btm Layout","15000","38","https://www.swiggy.com/restaurants/foodism-in-1st-stage-btm-layout-bangalore-414622"
"89","temperature","Desserts","4.0","200","Indiranagar","5000","35","https://www.swiggy.com/restaurants/temperature-hal-3rd-stage-Indiranagar-bangalore-562630"
"90","24/7 JUContinental N SNACKS HUB","Arabian","3.3","100","Koramangala","1000","26","https://www.swiggy.com/restaurants/24-7-juContinental-n-snacks-hub-5th-block-Koramangala-bangalore-475800"
"91","XO Belgian Waffle","Desserts","4.3","125","Koramangala","10000","33","https://www.swiggy.com/restaurants/xo-belgian-waffle-5th-block-Koramangala-bangalore-44462"
"92","Big Bowl (Big Bowl Company)","North Indian","3.8","125","Adugodi","15000","32","https://www.swiggy.com/restaurants/big-bowl-big-bowl-company-chikka-lakshmaiah-layout-adugodi-bangalore-392828"
"93","Chinese Trail","North Indian","4.0","175","Basaveshwara Nagar","500","37","https://www.swiggy.com/restaurants/chinese-trail-armane-nagar-r-t-nagar-bangalore-368635"
"94","TEXAS BURGERS","Arabian","4.0","200","Indiranagar","5000","39","https://www.swiggy.com/restaurants/texas-burgers-hal-3rd-stage-Indiranagar-bangalore-562625"
"95","Samosa Party","Arabian","4.3","75","Jp Nagar","10000","33","https://www.swiggy.com/restaurants/samosa-party-hal-3rd-stage-jeevan-bima-nagar-bangalore-23423"
"96","Sardarji Londonwaley","Tibetan","3.8","175","Koramangala","500","39","https://www.swiggy.com/restaurants/sardarji-londonwaley-7th-block-Koramangala-bangalore-61790"
"97","Swiss Cream - Continental Creams and More","Desserts","4.0","125","M.S.R Nagar","15000","36","https://www.swiggy.com/restaurants/swiss-cream-Continental-creams-and-more-pai-layout-old-madras-road-bangalore-50310"
"98","GFC Kebabs &amp; Biryani","North Indian","3.0","100","Indiranagar","1000","36","https://www.swiggy.com/restaurants/gfc-kebabs-and-biryani-appareddy-palya-Indiranagar-bangalore-581615"
"99","Al Taj","North Indian","3.6","100","Koramangala","5000","43","https://www.swiggy.com/restaurants/al-taj-5th-block-Koramangala-bangalore-371381"
"100","California Burrito","Mexican","4.4","125","Vasanth Nagar","10000","38","https://www.swiggy.com/restaurants/california-burrito-chandra-layout-vijayanagar-bangalore-532092"
"101","bihari express","Rajasthani","3.2","125","Btm Layout","500","31","https://www.swiggy.com/restaurants/bihari-express-1st-stage-btm-layout-bangalore-324439"
"102","Flavor's Season","North Indian","4.0","75","Jp Nagar","15000","32","https://www.swiggy.com/restaurants/flavors-season-5th-phase-jp-nagar-bangalore-453665"
"103","CakeZone","Desserts","4.3","100","Indiranagar","5000","41","https://www.swiggy.com/restaurants/cakezone-domlur-layout-Indiranagar-bangalore-29784"
"104","Royal Biryani Kitchen","North Indian","3.3","125","Btm Layout","1000","39","https://www.swiggy.com/restaurants/royal-biryani-kitchen-1st-stage-btm-layout-bangalore-415042"
"105","Bihar ki rasoi","Mexican","3.7","50","Indiranagar","10000","29","https://www.swiggy.com/restaurants/bihar-ki-rasoi-hal-2nd-stage-Indiranagar-bangalore-591223"
"106","The Biryani Life","North Indian","3.9","125","Indiranagar","500","36","https://www.swiggy.com/restaurants/the-biryani-life-hoysala-nagar-Indiranagar-bangalore-186074"
"107","Empire JuContinentals and Desserts","Desserts","3.3","100","Shivaji Nagar","15000","36","https://www.swiggy.com/restaurants/empire-juContinentals-and-desserts-infantry-road-Shivaji Nagar-bangalore-279731"
